Aggregated Authentication Events:
source_computer,destination_computer,auth_type,logon_type,times,source_users,destination_users,orientations,statuses
C1017,C1017,Negotiate,Service,<3>,C1017$@DOM1,SYSTEM@C1017,LogOn,Success
C1018,C1018,Negotiate,Service,<3>,C1018$@DOM1,SYSTEM@C1018,LogOn,Success
C1020,C1020,Negotiate,Service,<3>,C1020$@DOM1,SYSTEM@C1020,LogOn,Success
C1021,C1021,Negotiate,Service,<3>,C1021$@DOM1,SYSTEM@C1021,LogOn,Success
C1026,C1026,Negotiate,Service,<3>,C1026$@DOM1,SYSTEM@C1026,LogOn,Success
C1029,C1029,Negotiate,Service,<3>,C1029$@DOM1,SYSTEM@C1029,LogOn,Success
C1030,C1030,Negotiate,Service,<3>,C1030$@DOM1,SYSTEM@C1030,LogOn,Success
C1032,C1032,Negotiate,Service,<3>,C1032$@DOM1,SYSTEM@C1032,LogOn,Success
C1035,C586,Kerberos,Network,<3>,C1035$@DOM1,C1035$@DOM1,LogOn,Success
C586,C586,?,Network,<3>,C1035$@DOM1,C1035$@DOM1,LogOff,Success
C1037,C1037,Negotiate,Service,<3>,C1037$@DOM1,SYSTEM@C1037,LogOn,Success
C1038,C1038,Negotiate,Service,<3>,C1038$@DOM1,SYSTEM@C1038,LogOn,Success
C1045,C1045,Negotiate,Service,<3>,C1045$@DOM1,SYSTEM@C1045,LogOn,Success
C1051,C1051,Negotiate,Service,<3>,C1051$@DOM1,SYSTEM@C1051,LogOn,Success
C1054,C1054,Negotiate,Service,<3>,C1054$@DOM1,SYSTEM@C1054,LogOn,Success
C1058,C1058,Negotiate,Service,<3>,C1058$@DOM1,SYSTEM@C1058,LogOn,Success
C1063,C1063,Negotiate,Service,<3>,C1063$@DOM1,SYSTEM@C1063,LogOn,Success
C1069,C1069,Negotiate,Service,<3>,C1069$@DOM1,SYSTEM@C1069,LogOn,Success
C107,C107,Negotiate,Service,<3>,C107$@DOM1,SYSTEM@C107,LogOn,Success
C1072,C1072,Negotiate,Service,<3>,C1072$@DOM1,SYSTEM@C1072,LogOn,Success
C1079,C1079,Negotiate,Service,<3>,C1079$@DOM1,SYSTEM@C1079,LogOn,Success
C1084,C1084,Negotiate,Service,<3>,C1084$@DOM1,SYSTEM@C1084,LogOn,Success
C1088,C1088,Negotiate,Service,<3>,C1088$@DOM1,SYSTEM@C1088,LogOn,Success
C1092,C1092,Negotiate,Service,<3>,C1092$@DOM1,SYSTEM@C1092,LogOn,Success
C1096,C1096,Negotiate,Service,<3>,C1096$@DOM1,SYSTEM@C1096,LogOn,Success
C1098,C1098,Negotiate,Service,<3>,C1098$@DOM1,SYSTEM@C1098,LogOn,Success
C11,C11,Negotiate,Service,<3>,C11$@DOM1,SYSTEM@C11,LogOn,Success
C1104,C1104,Negotiate,Service,<3>,C1104$@DOM1,SYSTEM@C1104,LogOn,Success
C1105,C1105,Negotiate,Service,<3>,C1105$@DOM1,SYSTEM@C1105,LogOn,Success
C1109,C1109,Negotiate,Service,<3>,C1109$@DOM1,SYSTEM@C1109,LogOn,Success
C111,C111,Negotiate,Service,<3>,C111$@DOM1,SYSTEM@C111,LogOn,Success
C1113,C1113,Negotiate,Service,<3>,C1113$@DOM1,SYSTEM@C1113,LogOn,Success
C1116,C1116,Negotiate,Service,<3>,C1116$@DOM1,SYSTEM@C1116,LogOn,Success
C1120,C1120,Negotiate,Service,<3>,C1120$@DOM1,SYSTEM@C1120,LogOn,Success
C1127,C1127,Negotiate,Service,<3>,C1127$@DOM1,SYSTEM@C1127,LogOn,Success
C1129,C1129,Negotiate,Service,<3>,C1129$@DOM1,SYSTEM@C1129,LogOn,Success
C1130,C1130,Negotiate,Service,<3>,C1130$@DOM1,SYSTEM@C1130,LogOn,Success
C1132,C1132,Negotiate,Service,<3>,C1132$@DOM1,SYSTEM@C1132,LogOn,Success
C1138,C1138,Negotiate,Service,<3>,C1138$@DOM1,SYSTEM@C1138,LogOn,Success
C1145,C1145,Negotiate,Service,<3>,C1145$@DOM1,SYSTEM@C1145,LogOn,Success
C1151,C1151,Negotiate,Service,<3>,C1151$@DOM1,SYSTEM@C1151,LogOn,Success
C1154,C1154,Negotiate,Service,<3>,C1154$@DOM1,SYSTEM@C1154,LogOn,Success
C1155,C1155,Negotiate,Service,<3>,C1155$@DOM1,SYSTEM@C1155,LogOn,Success
C1158,C1158,Negotiate,Service,<3>,C1158$@DOM1,SYSTEM@C1158,LogOn,Success
C116,C116,Negotiate,Service,<3>,C116$@DOM1,SYSTEM@C116,LogOn,Success
C1166,C1166,Negotiate,Service,<3>,C1166$@DOM1,SYSTEM@C1166,LogOn,Success
C117,C117,Negotiate,Service,<3>,C117$@DOM1,SYSTEM@C117,LogOn,Success
C1170,C1170,Negotiate,Service,<3>,C1170$@DOM1,SYSTEM@C1170,LogOn,Success
C1172,C1172,Negotiate,Service,<3>,C1172$@DOM1,SYSTEM@C1172,LogOn,Success
C1179,C1179,Negotiate,Service,<3>,C1179$@DOM1,SYSTEM@C1179,LogOn,Success
